English,Standard Arabic,Transliteration
containment,احتواء,iHtiwaa'
restiveness,اضطراب,iDTiraab
restivenesses,اضطرابات,iDTiraabaat
deficiency; defective,خلل,xalal
panic,هلع من,hala3 min
controversy,جدل,jadal
debate,سجال,sijaal
outcry,ضجّة,Dajja
chaotic,همجي,hamaji
opponent,خصم,xaSm
opponents,خصوم,xuSuum
legacy,تركة,tarika
legacies,تركات,tarikaat
legitimacy,شرعية,šar3iyya
credibility,مصداقية,miSdaaqiyya
reputation,سمعة,sum3a
morale,معنويات,ma3nawiyyaat
awareness,وعي,wa3y
indifference,لا مبالاة,la mubaalaah
distortion,تشويه,tašwiih
positive point,إيجابية,iijaabiyya
positive points,إيجابيات,iijaabiyyaat
negative point,سلبية,silbiyya
negative points,سلبيات,silbiyyaat
benefit,مزية,maziyya
benefits,مزايا,mazaaya
benefit,فائدة,faa'ida
benefits,فوائد,fawaa'id
gain,عائدة,3aa'ida
gains,عوائد,3awaa'id
use,نفع,naf3
value,قيمة,qiima
quantity,كمية,kammiyya
quantities,كميات,kammiyyaat
terminology,مصطلح,muSTalaH
terminologies,مصطلحات,muSTalaHaat
conventional,مصطلح,muSTalaH
normal,عادي,3aadi
stalemate,جمود سياسي,jumuud siyaasi
eligibility,لياقة,liyaaqa
remainder,بقية,baqiyya
remainders,بقايا,baqaaya
fossil,أحفور,uHfuur
fossils,أحافير,aHaafiir
on the threshold of,على أعتاب,3ala a3taab
on the verge of,على شفا,3ala šafa
rift,صدع,Sad3
rifts,صدوع,Suduu3
trap,فخ,faxx
traps,فخوخ,fuxuux
a tight spot,موقف حرج,mawqif Harij
predicament,مأزق,ma'ziq
predicaments,مآزق,ma'aaziq
claim,ادعاء,iddi3aa'
claims,ادعاءات,iddi3aa'aat
deal,صفقة,Safqa
deals,صفقات,Safaqaat
cover-up,تغطية على,taġTiyya 3ala
conspiracy,مؤامرة,mu'aamara
conspiracies,مؤامرات,mu'aamaraat
theory,نظرية,naZariyya
theories,نظريات,naZariyyaat
idea,فكرة,fikra
ideas,أفكار,afkaar
concept,مفهوم,mafhuum
concepts,مفاهيم,mafaahiim
generalization,تعميم,ta3miim
stereotype,صورة نمطية,Suura namaTiyya
mediation,وساطة,wisaaTa
imagination,خيال,xayaal
delusion,وهم,wahm
delusions,أوهام,awhaam
reality,واقع,waaqi3
facts,حقائق    حقيقة,Haqaa'iq  Haqiiqa
vital,حيوي,Hayawi
fateful,مصيري,maSiiri
decisive,حاسم,Haasim
substantial,جوهري,jawhari
fundamental,أساسي,asaasi
necessary,ضروري,Daruuri
priority,أولوية,awlawiyya
priorities,أولويات,awlawiyyaat
breakthrough,اختراق,ixtiraaq
axis or central point,محور,miHwar
axis or central points,محاور,maHaawir
proximity,محاذاة,muHaadaah
neighboring,مجاور,mujaawir
details,تفاصيل,tafaaSiil
more of,مزيد من,muziid min
loyalty,ولاء,walaa'
banquet,وليمة,waliima
banquets,ولائم,walaa'im
rostrum,منبر,minbar
rostrums,منابر,manaabir
developing countries,دول نامية,duwal naamiyya
collective punishment,عقاب جماعي,3iqaab jamaa3i
lame duck ,بطة عرجاء,baTTa 3arjaa'
prevailing,سائد,saa'id
of historical dimensions,ذو أبعاد تاريخية,duu ab3aad taariixiyya
invalid,باطل,baaTil
egregious,صارخ,Saarix
fierce,ضارٍ,Daarin
harsh,قاسٍ,qaasin
fake,ملفق,mulaffaq
contradicting,متضارب,mutaDaarib
disparate,متباين,mutabaayin
great,جسيم,jasiim
large,كبير,kabiir
huge,ضخم,Daxm
giant,علاق,3imlaaq
giants,عمالقة,3amaaliqa
prominent,بارز,baariz
young,ناشئ,naaši'
growing,متنامٍ,mutanaamin
mature,ناضج,naaDij
existing,قائم,qaa'im
glorious,مجيد,majiid
clear,واضح,waaDiH
obvious,ملحوظ,malHuuZ
small,ضئيل,Da'iil
knowledgeable,مطلع على,muTla3 3ala
horrific,بشع,baši3
complicated,معقد,mu3aqqad
accurate ,دقيق ,daqiiq 
extinct,منقرض,munqariD
following ,تالي,taali
conditional,منوط بـ,manuuT bi
solidarity with,تضامن مع,taDaamun ma3a
coordination,تنسيق,tansiiq
activity,نشاط,našaaT
activities,نشاطات | أنشظة,našaaTaat/anšiTa
vice,رذيلة,radiila
vices,رذائل,radaa'il
conclusion,استنتاج,istintaaj
involvement,انخراط في,inxiraaT fi
deviation ,انحراف,inHiraaf
counter-,مضادّ,muDaadd
frustration,احباط,iHbaaT
worry,قلق,qalaq
failure,اخفاق,ixfaaq
failures,اخفاقات,ixfaaqaat
incentive ,حافز,Haafiz
incentive s,حوافز على,Hawaafiz 3ala
rank,جاه,jaah
tone,وتيرة,watiira
tones,وتائر,wataa'ir
verbal,لفظي,lafZi
oral,شهوي,šafawi
captivity,أسر,asr
to harp on,ضرب على نغمة __,Daraba 3ala naġmat ___
form or application,استمارة,istimaara
form or applications,استمارات,istimaaraat
