English,Egyptian Arabic,Transliteration
art,فن,fann
arts,فنون,funuun
artist ,فنان,fannaan
drawing,رسم,rasm
drawings,رسوم,rusuum
painter,رسام,rassaam
paint,دهان,dihaan
paints,دهانات,dihaanat
charcoal,فحم,faHm
pottery,فخار,fuxxaar
ceramics,خزف,xazaf
clay,صلصال,SalSaal
statue,تمثال,timsaal
statues,تماثيل,tamasiil
mosaics,فسيفساء,fuseifisaa'
weaving,نسيج,nasiig
bellydance,رقص شرقي,ra'S šar'i
music,موسيقى,musiiqa
singer,مغني,muġanni
rock star,نجم,nagm
rock stars,نجوم الروك,nuguum ar-rock
band,فرقة,fir'a
bands,فرق,fira'
choir,جوقة,goo'a
choirs,جوقات,goo'aat
lead singer,مغنٍ رئيسي,muġanni ra'iisi
composer,ملحن,mulaHHin
song,أغنية,oġniyya
songs,أغاني,aġaani
verse,كوبليه,kobleih
verses,كوبليهات,kobleihaat
album,ألبوم,albuum
albums,ألبومات,albuumaat
tape,شريط,širiiT
tapes,شرايط,šaraayiT
record,اسطوانة,isTiwaana
records,اسطوانات,isTiwaanaat
lyrics,كلمات أغنية | أغاني,kelimaat oġniyya/aġaani
melody,لحن,laHn
melodies,ألحان,alHaan
tune,نغم,naġm
tunes,أنغام,anġaam
music video,فيديو كليب,viidiyo kliip
music videos,فيديو كليبات,viidiyo kliipaat
screenshot,لقطة,laqTa
screenshots,لقطات,laqaTaat
tour,جولة غنائية,goola ġanaa'iyya
promotion,ترويج,tarwiig
concert,حفلة موسيقية,Hafla musiqiyya
fans,جمهور,gumhuur
musical instrument,آلة,aala
musical instruments,آلات موسيقية,aalaat musiqiyya
violin,كمنجة,kamanga
violins,كمنجات,kamangaat
drum,طبلة,Tabla
drums,طبل,Tubal
oud ,عود,3uud
oud s,أعواد,a3waad
bamboo flute,ناي,naay
bamboo flutes,نايات,naayaat
voice ,صوت,Soot
voice s,أصوات,aSwaat
movie,فيلم,film
movies,أفلام,aflaam
actor,ممثل,mumassil
star,نجم,nagm
stars,نجوم,nuguum
famous ,مشهور,mašhuur
famous s,مشاهير ,mašahiir 
supporting actor,ممثل مساعد,mumassil musaa3id
child star,نجم طفل,nagm Tifl
director,مخرج,muxrig
producer,منتج,muntig
script,سيناريو,sinaryo
scripts,سيناريوهات,sinaryohaat
original screenplay,سيناريو أصلي,sinaryo aSli
adapted screenplay,سيناريو مقتبس,sinaryo muqtabas
special effects,مؤثرات ,mu'assiraat
sound effects,مؤثرات صوتية,mu'assiraat Sootiyya
visual effects,مؤثرات بصرية,mu'assiraat baSariyya
makeup,مكياج,makyaaž
cinematography,تصوير,taSwiir
editing,تحرير,taHriir
critic,ناقد,naaqid
critics,نقّاد,nuqqaad
review,مراجعة,muraaga3a
reviews,مراجعات,muraaga3aat
positive,ايجابي,iigaabi
negative,سلبي,silbi
rating (G,تصنيف,taSniif
assessment; rating ,تقييم,taqyiim
Oscar award,جايزة,gayzit oscar
Oscar awards,جوايز أوسكار,gawaayiz oscar
starring...,بطولة,biTuula
role,دور,door
roles,أدوار,adwaar
performance,أداء,adaa'
performances,أداءات,adaa'aat
portrayal,تجسيد,tagsiid
showing,عرض,3arD
showings,عروض,3uruuD
character,شخصية,šaxSiyya
characters,شخصيات,šaxSiyyaat
hero,بطل,baTal
heroes,أبطال,abTaal
scene,مشهد,mašhad
scenes,مشاهد,mašaahid
revenue,ايراد,iiraad
revenues,ايرادات,iiraadaat
record,رقم قياسي,raqam qiyaasi
festival,مهرجان,mahragaan
festivals,مهرجانات,mahragaanaat
failure,اخفاق,ixfaaq
success,نجاح,nagaaH
popular,شعبي,ša3bi
movie theater,سينما,siinema
poster,ملصق,mulSaq
posters,ملصقات,mulSaqaat
ticket,تذكرة,tazkara
tickets,تذاكر,tazaakir
screen,شاشة,šaaša
screens,شاشات,šaašaat
drama,دراما,draama
comedy,كوديدي,komedy
action,أكشن,akšun
adventure,مغامرة,muġaamara
crime,اجرام,igraam
family,عائلي,3aa'ili
fantasy,خيالي,xayaali
science fiction,خيالي علمي,xayaali 3ilmi
horror,رعب,ra3b
mystery,لغز,luġz
thriller,مشوق | تشويق,tašwiiq/mušawwiq
romance,رومانسي,romaansi
musical,موسيقي,muusiiqi
war,حربي,Harbi
historical,تاريخي,tariixi
documentary,وثائقي,wasaa'iqi
cartoon,كرتون,kartuun
dubbed,مدبلج,mudablag
subtitled,مترجم,mutargam
entertainment,تسلية,tasliyya
relaxation,ترفيه,tarfiih
epic,ملحمي,malHami
cinematic masterpiece,تحفة,tuHfa
cinematic masterpieces,تحف سينمائية,tuHaf sinimaa'iyya
devastating,مدمر,mudammir
exciting ,مثير ,musiir 
full of,مليان بـ,malyaan bi
fun,مرح,maraH
enjoyable,ممتع,mumti3
entertaining,مسلي,musalli
excellent,رائع,raa'i3
distinguished,مميز,mumayyaz
special,متميز,mutamayyiz
great,ممتاز,mumtaaz
unique,فريد,fariid
rare,نادر,naadir
marvellous,خارق,xaariq
astonishing,مذهل,muzhil
attractive,جذاب,gazzaab
funny,مضحك,muDHik
boring,مملّ,mumill
ordinary,عادي,3aadi
exaggerated,مبالغ,mubaaliġ
silly,سخيف,saxiif
realistic,واقعي,waaqi3i
mysterious,غامض,ġaamiD
terrifying,مفزع,mufzi3
disgusting,مقرف,mo'rif
literature,أدب,adab
literature,آداب,aadaab
novel,رواية,riwaaya
novels,روايات,riwaayaat
short story,قصة,qiSSa qaSiira
short stories,قصص قصيرة,qiSaS qaSiira
book,كتاب,kitaab
books,كتب,kutub
series,سلسلة,silsila
series,سلاسل,salaasil
writer,كاتب,kaatib
writers,كتاب,kuttaab
author,مؤلف,mu'allif
author,أديب,adiib
authors,أدباء,udabaa'
introduction,مقدمة,muqaddima
