English,Standard Arabic,Transliteration,Egyptian Arabic,Transliteration
art,فن,fann,فن,fann
arts,فنون,funuun,فنون,funuun
artist (in general),فنان,fannaan,فنان,fannaan
drawing, painting,رسم,rasm,رسم,rasm
drawing, paintings,رسوم,rusuum,رسوم,rusuum
painter, artist,رسام,rassaam,رسام,rassaam
paint,طلاء,Tilaa',طلاء,Tilaa'
paints,دهانات,dihaanat,دهانات,dihaanat
charcoal,فحم,faHm,فحم,faHm
pottery,فخار,faxxaar,فخار,fuxxaar
ceramics,خزف,xazaf,خزف,xazaf
clay,صلصال,SalSaal,صلصال,SalSaal
statue,تمثال,timtaal,تمثال,timtaal
statues,تماثيل,tamaatiil,تماثيل,tamaatiil
mosaics,فسيفساء,fuseifisaa',فسيفساء,fuseifisaa'
weaving,نسيج,nasiij,نسيج,nasiig
bellydance,رقص شرقي,raqS šarqi,رقص شرقي,ra'S šar'i
music,موسيقى,muusiiqa,موسيقى,musiiqa
singer,مغنٍ,muġannin,مغني,muġanni
rock star,نجم,najm,نجم,najm
rock stars,نجوم الروك,nujuum ar-rock,نجوم الروك,nujuum ar-rock
band,فرقة,firqa,فرقة,firqa
bands,فرق,firaq,فرق,firaq
choir,جوقة,jooqa,جوقة,jooqa
choirs,جوقات,jooqaat,جوقات,jooqaat
lead singer,مغنٍ رئيسي,muġannin ra'iisi,مغنٍ رئيسي,muġanni ra'iisi
composer,ملحن,mulaHHin,ملحن,mulaHHin
song,أغنية,uġniyya,أغنية,uġniyya
songs,أغان,aġaanin,أغان,aġaanin
verse,,kobleih,كوبليه,kobleih
verses,كوبليهات,kobleihaat,كوبليهات,kobleihaat
album,ألبوم,albuum,ألبوم,albuum
albums,ألبومات,albuumaat,ألبومات,albuumaat
tape,شريط,šariiT,شريط,šariiT
tapes,شرائط,šaraa'iT,شرائط,šaraa'iT
record,اسطوانة,usTuwaana,اسطوانة,usTuwaana
records,اسطوانات,usTuwaanaat,اسطوانات,usTuwaanaat
lyrics,كلمات أغنية | أغان,kalimaat uġniyya/aġaanin,كلمات أغنية | أغاني,kelimaat oġniyya/aġaani
melody,لحن,laHn,لحن,laHn
melodys,ألحان,alHaan,ألحان,alHaan
tune,نغم,naġm,نغم,naġm
tunes,أنغام,anġaam,أنغام,anġaam
music video,مقطع,maqTa3,مقطع,maqTa3
music videos,مقاطع,maqaaTi3,مقاطع,maqaaTi3
screenshot, still,,laqTa,لقطة,laqTa
screenshot, stills,لقطات,laqaTaat,لقطات,laqaTaat
tour,جولة غنائية,joola ġanaa'iyya,جولة غنائية,goola ġanaa'iyya
promotion,ترويج,tarwiij,ترويج,tarwiig
concert,حفلة موسيقية,Hafla muusiiqiyya,حفلة موسيقية,Hafla musiqiyya
fans,جمهور,jumhuur,جمهور,gumhuur
musical instrument,آلة,aala,آلة,aala
musical instruments,آلات موسيقية,aalaat muusiiqiyya,آلات موسيقية,aalaat muusiiqiyya
violin,كمان,kamaan,كمان,kamaan
violins,كمنجات,kamangaat,كمنجات,kamangaat
drum,طبلة,Tabla,طبلة,Tabla
drums,طبل,Tubal,طبل,Tubal
oud (lute),عود,3uud,عود,3uud
oud (lute)s,أعواد,a3waad,أعواد,a3waad
bamboo flute,,naay,ناي,naay
bamboo flutes,نايات,naayaat,نايات,naayaat
voice (or sound/vote),صوت,Soot,صوت,Soot
voice (or sound/vote)s,أصوات,aSwaat,أصوات,aSwaat
movie,فيلم,film,فيلم,film
movies,أفلام,aflaam,أفلام,aflaam
actor,ممثل,mumattil,ممثل,mumassil
star,نجم,najm,نجم,najm
stars,نجوم,nujuum,نجوم,nujuum
famous (fame),مشهور,mašhuur,مشهور,mašhuur
famous (fame)s,مشاهير ,mašaahiir ,مشاهير ,mašaahiir 
supporting actor,ممثل مساعد,mumattil musaa3id,ممثل مساعد,mumassil musaa3id
child star,نجم طفل,najm Tifl,نجم طفل,nagm Tifl
director,مخرج,muxrij,مخرج,muxrig
producer,منتج,muntij,منتج,muntig
script, screenplay,سيناريو,siinaariyo,سيناريو,siinaariyo
script, screenplays,سيناريوهات,siinaariyohaat,سيناريوهات,siinaariyohaat
original screenplay,سيناريو أصلي,siinaariyo aSli,سيناريو أصلي,sinaryo aSli
adapted screenplay,سيناريو مقتبس,siinaariyo muqtabas,سيناريو مقتبس,sinaryo muqtabas
special effects,مؤثرات ,mu'attiraat ,مؤثرات ,mu'assiraat
sound effects,مؤثرات صوتية,mu'attiraat Sootiyya,مؤثرات صوتية,mu'assiraat Sootiyya
visual effects,مؤثرات بصرية,mu'attiraat baSariyya,مؤثرات بصرية,mu'assiraat baSariyya
makeup,مكياج,makyaaž,مكياج,makyaaž
cinematography,تصوير,taSwiir,تصوير,taSwiir
editing,تحرير,taHriir,تحرير,taHriir
critic,ناقد,naaqid,ناقد,naaqid
critics,نقّاد,nuqqaad,نقّاد,nuqqaad
review,مراجعة,muraaja3a,مراجعة,muraaja3a
reviews,مراجعات,muraaja3aat,مراجعات,muraaja3aat
positive,ايجابي,iijaabi,ايجابي,iigaabi
negative,سلبي,silbi,سلبي,silbi
rating (G, PG, etc.),تصنيف,taSniif,تصنيف,taSniif
assessment; rating (1-5 stars etc.),تقييم,taqyiim,تقييم,taqyiim
Oscar award,جائزة,jaa'izat oscar,جائزة,jaa'izat oscar
Oscar awards,جوائز أوسكار,jawaa'iz oscar,جوائز أوسكار,jawaa'iz oscar
starring...,بطولة,buTuula,بطولة,biTuula
role, part,دور,door,دور,door
role, parts,أدوار,adwaar,أدوار,adwaar
performance,أداء,adaa',أداء,adaa'
performances,أداءات,adaa'aat,أداءات,adaa'aat
portrayal, embodiment,تجسيد,tajsiid,تجسيد,tagsiid
showing, performance (of a film or play),عرض,3arD,عرض,3arD
showing, performance (of a film or play)s,عروض,3uruuD,عروض,3uruuD
character,شخصية,šaxSiyya,شخصية,šaxSiyya
characters,شخصيات,šaxSiyyaat,شخصيات,šaxSiyyaat
hero, main character (or champion),بطل,baTal,بطل,baTal
hero, main character (or champion)s,أبطال,abTaal,أبطال,abTaal
scene,مشهد,mašhad,مشهد,mašhad
scenes,مشاهد,mašaahid,مشاهد,mašaahid
revenue,ايراد,iiraad,ايراد,iiraad
revenues,ايرادات,iiraadaat,ايرادات,iiraadaat
record,رقم قياسي,raqam qiyaasi,رقم قياسي,raqam qiyaasi
festival,مهرجان,mihrajaan,مهرجان,mihrajaan
festivals,مهرجانات,mihrajaanaat,مهرجانات,mihrajaanaat
failure, flop,اخفاق,ixfaaq,اخفاق,ixfaaq
success,نجاح,najaaH,نجاح,nagaaH
popular,شعبي,ša3bi,شعبي,ša3bi
movie theater,سينما,siinima,سينما,siinema
poster,,mulSaq,ملصق,mulSaq
posters,ملصقات,mulSaqaat,ملصقات,mulSaqaat
ticket,تذكرة,tadkara,تذكرة,tadkara
tickets,تذاكر,tadaakir,تذاكر,tadaakir
screen,شاشة,šaaša,شاشة,šaaša
screens,شاشات,šaašaat,شاشات,šaašaat
drama,دراما,draama,دراما,draama
comedy,كوديدي,komedy,كوديدي,komedy
action,أكشن,akšun,أكشن,akšun
adventure,مغامرة,muġaamara,مغامرة,muġaamara
crime,اجرام,ijraam,اجرام,igraam
family,عائلي,3aa'ili,عائلي,3aa'ili
fantasy,خيالي,xayaali,خيالي,xayaali
science fiction,خيالي علمي,xayaali 3ilmi,خيالي علمي,xayaali 3ilmi
horror,رعب,ru3b,رعب,ra3b
mystery,لغز,luġz,لغز,luġz
thriller,مشوق | تشويق,tašwiiq/mušawwiq,مشوق | تشويق,tašwiiq/mušawwiq
romance,رومانسي,romaansi,رومانسي,romaansi
musical,موسيقي,muusiiqi,موسيقي,muusiiqi
war,حربي,Harbi,حربي,Harbi
historical,تاريخي,taariixi,تاريخي,tariixi
documentary,وثائقي,wataa'iqi,وثائقي,wasaa'iqi
cartoon,كرتون,kartuun,كرتون,kartuun
dubbed,مدبلج,mudablaj,مدبلج,mudablag
subtitled,مترجم,mutarjam,مترجم,mutargam
entertainment,تسلية,tasliyya,تسلية,tasliyya
relaxation,ترفيه,tarfiih,ترفيه,tarfiih
epic,ملحمي,malHami,ملحمي,malHami
cinematic masterpiece,تحفة,tuHfa,تحفة,tuHfa
cinematic masterpieces,تحف سينمائية,tuHaf sinimaa'iyya,تحف سينمائية,tuHaf sinimaa'iyya
devastating,مدمر,mudammir,مدمر,mudammir
exciting (excitement),مثير ,mutiir ,مثير ,musiir 
full of,ملئ بـ,malii' bi,مليان بـ,malyaan bi
fun,مرح,maraH,مرح,maraH
enjoyable,ممتع,mumti3,ممتع,mumti3
entertaining,مسلٍ,musallin,مسلي,musalli
excellent,رائع,raa'i3,رائع,raa'i3
distinguished, superior,مميز,mumayyaz,مميز,mumayyaz
special, distinguished,متميز,mutamayyiz,متميز,mutamayyiz
great,ممتاز,mumtaaz,ممتاز,mumtaaz
unique,فريد,fariid,فريد,fariid
rare,نادر,naadir,نادر,naadir
marvellous, amazing,خارق,xaariq,خارق,xaariq
astonishing,مذهل,mudhil,مذهل,muzhil
attractive,جذاب,jaddaab,جذاب,gazzaab
funny,مضحك,muDHik,مضحك,muDHik
boring,مملّ,mumill,مملّ,mumill
ordinary,عادي,3aadi,عادي,3aadi
exaggerated,مبالغ,mubaaliġ,مبالغ,mubaaliġ
silly, ridiculous,سخيف,saxiif,سخيف,saxiif
realistic,واقعي,waaqi3i,واقعي,waaqi3i
mysterious,غامض,ġaamiD,غامض,ġaamiD
terrifying, frightening,مفزع,mufzi3,مفزع,mufzi3
disgusting, sickening,مقزز,muqazziz,مقرف,mo'rif
literature,أدب,adab,أدب,adab
literatures,آداب,aadaab,آداب,aadaab
novel,رواية,riwaaya,رواية,riwaaya
novels,روايات,riwaayaat,روايات,riwaayaat
short story,قصة,qiSSa qaSiira,قصة,qiSSa qaSiira
short storys,قصص قصيرة,qiSaS qaSiira,قصص قصيرة,qiSaS qaSiira
