English,Egyptian Arabic,Transliteration
doctor,دكتور,doktoor
doctors,دكترة,dakatra
surgeon,جرّاح,garraaH
surgeons,جرّاحون,garraaHiin
nurse,ممرّض,mumarriD
nurses,ممرّضون,mumarriDiin
patient,مريض,mariiD
patients,مرضى,marDa
hospital,مستشفى,mustašfa
hospitals,مستشفيات,mustašfayaat
clinic,عيادة,3iyaada
clinics,عيادات,3iyaadaat
pharmacy,صيدلية,Saidaliyya
pharmacies,صيدليات,Saidaliyyaat
ambulance,اسعاف,is3aaf
ambulances,اسعافات,is3aafaat
disease,مرض,maraD
diseases,أمراض,amraaD
chronic,مزمن,muzmin
infectious,ساري,saari
contagious,معد,mu3d
infection,عدوى,3adwa
parasite,طفيلي,Tufaili
parasites,طفيليات,Tufailiyaat
asthma,ازمة,azma
heart attack,أزمة قلبية,azma qalbiyya
coma,غيبوبة,ġaibuuba
clot,جلطة,galTa
clots,جلطات,galaTaat
stroke,جلطة في المخ,galTa fil-moxx
allergy ,حسّاسية من,Hassaasiyya min
cold,برد,bard
cirrhosis,تليف,talayyuf
autism,توحد,tawaHHud
leprosy,جذام,guzaam
kidney stone,حصوة,HaSwa
kidney stones,حصاوي كلوة,HaSaawi kilwa
tuberculosis,سل,sull
epilepsy,صرع,Sara3
symptom,عرض,3araD
symptoms,أعراض,a3raaD
headache,صداع,SuDaa3
insomnia,أرق,araq
heartburn,حموضة,HumuuDa
diarrhea,إسهال,ishaal
stomach cramping,مغص,maġaS
constipation,امساك,imsaak
indigestion,عسر هضم,3usr haDm
bruise,كدمة,kadma
bruises,كدمات,kadamaat
burn,حرق,Har'
burns,حروق,Huruu'
laceration,تمزّق,tamazzu'
scratch,خدش,xadš
scratches,خدوش,xuduuš
cut,قطع,'aT3
cuts,قطوع,'uTuu3
wound,جرح,garH
wounds,جروح,guruuH
boil,دمّل,dimmil
boils,دمامل,damaamil
swelling; tumor,ورم,waram
swelling; tumors,أورام,awraam
inflammation; infection,تهاب,tihaab
dizziness,دوخة,dawxa
vomiting,طراش,Turaaš
nausea,جزع,gaza3
shock,صدمة,Sadma
shocks,صدمات,Sadamaat
fever,حمّى,Humma
fevers,حمّيات,Hummiyyaat
degree,درجة,daraga
degrees,درجات,daragaat
broken , مكسور,diraa3 maksuur
thermometer,مزان حرارة,mizaan Haraara
thermometers,مقاييس الحرارة,maqaayiis al-Haraara
stethoscope,سمّاعة,sammaa3a
stethoscopes,سمّاعات,sammaa3aat
X-ray,اشعّة ,aši33a/aši33at iks
medicine,دوا,dawa
medicines,ادوية,adwiya
pill,حبّة,Habba
pills,حبّات | حبوب,Habbaat/ Hubuub
tablet,برشامة,buršaama
tablets,برشام,buršaam
syrup,دوا شرب,dawa šurb
syrups,اشربة,ašriba
antibiotic,مضاد حيوي,muDadd Hayawi
dose ,جرعة,gur3a
dose s,جرعات,gur3aat
ointment,مرهم,marham
ointments,مراهم,maraahim
vaccine,تطعيم,taT3iim
gauze,شاش,šaaš
bandage,رباط,rubaaT
bandages,اربطة,arbiTa
band-aid,بلاستر,plastar
stitches,غرز    غرزة,ġuraz  ġurza
cast,جبيرة,gibiira  gabaayir
casts,جباير,jabaa'ir
crutch,عكاز,3ukkaaz
crutches,عكازات,3ukkaazaat
disinfectant,مطهّر,muTahhir
disinfectants,مطهّرات,muTahhiraat
anesthesia,بنج,bing
operation,عملية,3amaliyya
operations,عمليات,3amaliyyaat
surgery,جراحة,giraaHa
amputation,بتر,batr
autopsy,تشريح,tašriiH
abortion,اجهاض,ighaaD
chemotherapy,علاج كيميائي,3ilaag kimyaa'i
plastic surgery,عملية تجميل,3amaliyyit tagmiil
health,صحة,SiHHa
sick,مريض,mariid
sicks,مرضى,marDa
healthy,سليم,saliim
healthies,سلماء,sulamaa'
weak,ضعيف,Da3iif
weaks,ضعفاء,Du3afa
strong,قوي,'awi
strongs,أقوياء,a'wiya
blind,أعمى - عميا,a3ma  - 3amya 
blinds,عميان,3imyaan
deaf,أطرش | طرشاء,aTraš  - Tarša 
deaves,طرش,Turš
paralyzed,مشلول,mašluul
handicapped,معوق,ma3uuq
disabled,ملغي,malġi
mentally disabled,متخلّف عقليا,mutaxallif 3aqliyyan
sting,قرصة,'arSa
stings,قرصات,'araSaat
to throb ,نقح - ينقح ,na'aH - yin'aH 
to be injured,اتعوّر - يتعوّر ,it3awwar - yit3awwar 
pain,وجع,waga3
pains,أوجاع,awgaa3
 sneeze,عطسة,3aTsa
 cough,كحّة,kuHHa
stuffed-up nose,مناخير مسدودة,manaxiir masduuda
runny nose,مناخير بتخرّ\بتشرّ,manaxiir bitxorr/bitšorr
prevention of,وقاية من,wiqaaya min
medical examination,فحص,faHS
medical examinations,فحوص,fuHuuS
shot,حقن,Hu'na
shots,حقن,Hu'an
prescription,رشتّة,rušitta
prescriptions,رشتّات,rušittaat
