English,Standard Arabic,Transliteration,Egyptian Arabic,Transliteration
doctor,طبيب,Tabiib,طبيب,Tabiib
doctors,أطباء,aTibbaa',أطباء,aTibbaa'
surgeon,جرّاح,jarraaH,جرّاح,jarraaH
surgeons,جرّاحون,jarraaHuun,جرّاحون,jarraaHuun
nurse,ممرّض,mumarriD,ممرّض,mumarriD
nurses,ممرّضون,mumarriDuun,ممرّضون,mumarriDuun
patient,مريض,mariiD,مريض,mariiD
patients,مرضى,marDa,مرضى,marDa
hospital,مستشفى,mustašfa,مستشفى,mustašfa
hospitals,مستشفيات,mustašfayaat,مستشفيات,mustašfayaat
clinic,عيادة,3iyaada,عيادة,3iyaada
clinics,عيادات,3iyaadaat,عيادات,3iyaadaat
pharmacy,صيدلية,Saidaliyya,صيدلية,Saidaliyya
pharmacys,صيدليات,Saidaliyyaat,صيدليات,Saidaliyyaat
ambulance,اسعاف,is3aaf,اسعاف,is3aaf
ambulances,اسعافات,is3aafaat,اسعافات,is3aafaat
disease,مرض,maraD,مرض,maraD
diseases,أمراض,amraaD,أمراض,amraaD
chronic,مزمن,muzmin,مزمن,muzmin
infectious,ساري,saari,ساري,saari
contagious,معد,mu3d,معد,mu3d
infection,عدوى,3adwa,عدوى,3adwa
parasite,طفيلي,Tufaili,طفيلي,Tufaili
parasites,طفيليات,Tufailiyaat,طفيليات,Tufailiyaat
asthma,ربو,rabw,ازمة,azma
heart attack,أزمة قلبية,azma qalbiyya,أزمة قلبية,azma qalbiyya
coma,غيبوبة,ġaibuuba,غيبوبة,ġaibuuba
clot,جلطة,jalTa,جلطة,jalTa
clots,جلطات,jalaTaat,جلطات,jalaTaat
stroke,جلطة دماغية,jalTa dimaaġiyya,جلطة في المخ,galTa fil-moxx
allergy (to),حسّاسية من,Hassaasiyya min,حسّاسية من,Hassaasiyya min
cold,باردة,baarida,برد,bard
cirrhosis,تليف,talayyuf,تليف,talayyuf
autism,توحد,tawaHHud,توحد,tawaHHud
leprosy,جذام,judaam,جذام,guzaam
kidney stone,حصوة,HaSwa,حصوة,HaSwa
kidney stones,حصيات الكلي,HaSayaat al-kulya,حصيات الكلي,HaSayaat al-kulya
tuberculosis,درن,daran,سل,sull
epilepsy,صرع,Sara3,صرع,Sara3
symptom,عرض,3araD,عرض,3araD
symptoms,أعراض,a3raaD,أعراض,a3raaD
headache,صداع,Sudaa3,صداع,SuDaa3
insomnia,أرق,araq,أرق,araq
heartburn,حموضة,HumuuDa,حموضة,HumuuDa
diarrhea,إسهال,ishaal,إسهال,ishaal
stomach cramping,مغص,maġaS,مغص,maġaS
constipation,امساك,imsaak,امساك,imsaak
indigestion,عسر هضم,3usr haDm,عسر هضم,3usr haDm
bruise,كدمة,kadma,كدمة,kadma
bruises,كدمات,kadamaat,كدمات,kadamaat
burn,حرق,Harq,حرق,Harq
burns,حروق,Huruuq,حروق,Huruuq
laceration,تمزّق,tamazzuq,تمزّق,tamazzu'
scratch, graze,خدش,xadš,خدش,xadš
scratch, grazes,خدوش,xuduuš,خدوش,xuduuš
cut,قطع,qaT3,قطع,qaT3
cuts,قطوع,quTuu3,قطوع,quTuu3
wound,جرح,jarH,جرح,jarH
wounds,جروح,juruuH,جروح,juruuH
boil,دمّل,dummal,دمّل,dummal
boils,دمامل,damaamil,دمامل,damaamil
swelling; tumor,ورم,waram,ورم,waram
swelling; tumors,أورام,awraam,أورام,awraam
inflammation; infection,تهاب,tihaab,تهاب,tihaab
dizziness,دوخة,dawxa,دوخة,dawxa
vomiting,قئ | تقيّؤ,qay'/taqayyu',طراش,Turaaš
nausea,غثيان,ġatayaan,جزع,gaza3
shock,صدمة,Sadma,صدمة,Sadma
shocks,صدمات,Sadamaat,صدمات,Sadamaat
fever,حمّى,Humma,حمّى,Humma
fevers,حمّيات,Hummayaat,حمّيات,Hummayaat
degree,درجة,daraja,درجة,daraja
degrees,درجات,darajaat,درجات,darajaat
broken (arm), مكسور, maksuur, مكسور,diraa3 maksuur
thermometer,مقياس,miqyaas,مقياس,miqyaas
thermometers,مقاييس الحرارة,maqaayiis al-Haraara,مقاييس الحرارة,maqaayiis al-Haraara
stethoscope,سمّاعة,sammaa3a,سمّاعة,sammaa3a
stethoscopes,سمّاعات,sammaa3aat,سمّاعات,sammaa3aat
X-ray,اشعّة ,aši33a/aši33at iks,اشعّة ,aši33a/aši33at iks
medicine, medication,دواء,dawaa',دواء,dawaa'
medicine, medications,أدوية,adwiya,أدوية,adwiya
pill,قرص,qurS,قرص,qurS
pills,اقراص,aqraaS,اقراص,aqraaS
tablet,قرص,qurS,قرص,qurS
tablets,اقراص,aqraaS,اقراص,aqraaS
syrup,شراب,šaraab,شراب,šaraab
syrups,اشربة,ašriba,اشربة,ašriba
antibiotic,مضاد حيوي,muDaadd Hayawi,مضاد حيوي,muDadd Hayawi
dose (e.g. of medicine),جرعة,jar3a,جرعة,jar3a
dose (e.g. of medicine)s,جرعات,jar3aat,جرعات,jar3aat
ointment,مرهم,marham,مرهم,marham
ointments,مراهم,maraahim,مراهم,maraahim
vaccine,لقاح,laqaaH,تطعيم,taT3iim
gauze,شاش,šaaš,شاش,šaaš
bandage, dressing,ضماد,Dimaad,ضماد,Dimaad
bandage, dressings,اربطة,arbiTa,اربطة,arbiTa
band-aid,بلاستر,plastar,بلاستر,plastar
stitches,غرز    غرزة,ġuraz  ġurza,غرز    غرزة,ġuraz  ġurza
cast, splint,جبيرة,jabiira,جبيرة,jabiira
cast, splints,جبائر,jabaa'ir,جبائر,jabaa'ir
crutch,عكاز,3ukkaaz,عكاز,3ukkaaz
crutchs,عكازات,3ukkaazaat,عكازات,3ukkaazaat
disinfectant,مطهّر,muTahhir,مطهّر,muTahhir
disinfectants,مطهّرات,muTahhiraat,مطهّرات,muTahhiraat
anesthesia,تخدير,taxdiir,بنج,bing
operation,عملية,3amaliyya,عملية,3amaliyya
operations,عمليات,3amaliyyaat,عمليات,3amaliyyaat
surgery,جراحة,jiraaHa,جراحة,giraaHa
amputation,بتر,batr,بتر,batr
autopsy,تشريح,tašriiH,تشريح,tašriiH
abortion,اجهاض,ijhaaD,اجهاض,ighaaD
chemotherapy,علاج كيميائي,3ilaaj kiimiyaa'i,علاج كيميائي,3ilaag kimyaa'i
plastic surgery,عملية تجميل,3amaliyyat tajmiil,عملية تجميل,3amaliyyit tagmiil
health,صحة,SiHHa,صحة,SiHHa
sick, ill,مريض,mariid,مريض,mariid
sick, ills,مرضى,marDa,مرضى,marDa
healthy, sound,سليم,saliim,سليم,saliim
healthy, sounds,سلماء,sulamaa',سلماء,sulamaa'
weak,ضعيف,Da3iif,ضعيف,Da3iif
weaks,ضعفاء,Du3afaa',ضعفاء,Du3afaa'
strong,قوي,qawi,قوي,qawi
strongs,أقوياء,aqwiyaa',أقوياء,aqwiyaa'
blind,أعمى - عمياء,a3ma  - 3amyaa' ,أعمى - عمياء,a3ma  - 3amyaa' 
blinds,عمى,3umy,عمى,3umy
deaf,أطرش | طرشاء,aTraš  - Taršaa' ,أطرش | طرشاء,aTraš  - Taršaa' 
deafs,طرش,Turš,طرش,Turš
paralyzed,مشلول,mašluul,مشلول,mašluul
handicapped,معوق,ma3uuq,معوق,ma3uuq
disabled,ملغي,malġi,ملغي,malġi
mentally disabled,متخلّف عقليا,mutaxallif 3aqliyyan,متخلّف عقليا,mutaxallif 3aqliyyan
sting, bite,قرصة,qarSa,قرصة,qarSa
sting, bites,قرصات,qaraSaat,قرصات,qaraSaat
to throb (in pain),نقح - ينقح ,na'aH - yin'aH ,نقح - ينقح ,na'aH - yin'aH 
to be injured, hurt,اتعوّر - يتعوّر ,it3awwar - yit3awwar ,اتعوّر - يتعوّر ,it3awwar - yit3awwar 
pain,وجع,waja3,وجع,waja3
pains,أوجاع,awjaa3,أوجاع,awjaa3
(a) sneeze,عطسة,3aTsa,عطسة,3aTsa
(a) cough,سعلة,su3la,كحّة,kuHHa
stuffed-up nose,أنف مزكم,anf muzkam,مناخير مسدودة,manaxiir masduuda
runny nose,مناخير بتخرّ\بتشرّ,manaxiir bitxorr/bitšorr,مناخير بتخرّ\بتشرّ,manaxiir bitxorr/bitšorr
prevention of,وقاية من,wiqaaya min,وقاية من,wiqaaya min
medical examination,فحص,faHS,فحص,faHS
medical examinations,فحوص,fuHuuS,فحوص,fuHuuS
shot, injection,حقن,Huqna,حقن,Huqna
shot, injections,حقن,Huqan,حقن,Huqan
prescription,وصفة,waSfa,وصفة,waSfa
prescriptions,وصفات,waSafaat,وصفات,waSafaat
