English,Standard Arabic,Transliteration,Egyptian Arabic,Transliteration
doctor,طبيب,Tabiib,دكتور,doktoor
doctors,أطباء,aTibbaa',دكترة,dakatra
surgeon,جرّاح,jarraaH,جرّاح,garraaH
surgeons,جرّاحون,jarraaHuun,جرّاحون,garraaHiin
nurse,ممرّض,mumarriD,ممرّض,mumarriD
nurses,ممرّضون,mumarriDuun,ممرّضون,mumarriDiin
patient,مريض,mariiD,مريض,mariiD
patients,مرضى,marDa,مرضى,marDa
hospital,مستشفى,mustašfa,مستشفى,mustašfa
hospitals,مستشفيات,mustašfayaat,مستشفيات,mustašfayaat
clinic,عيادة,3iyaada,عيادة,3iyaada
clinics,عيادات,3iyaadaat,عيادات,3iyaadaat
pharmacy,صيدلية,Saidaliyya,صيدلية,Saidaliyya
pharmacies,صيدليات,Saidaliyyaat,صيدليات,Saidaliyyaat
ambulance,اسعاف,is3aaf,اسعاف,is3aaf
ambulances,اسعافات,is3aafaat,اسعافات,is3aafaat
disease,مرض,maraD,مرض,maraD
diseases,أمراض,amraaD,أمراض,amraaD
chronic,مزمن,muzmin,مزمن,muzmin
infectious,ساري,saari,ساري,saari
contagious,معد,mu3d,معد,mu3d
infection,عدوى,3adwa,عدوى,3adwa
parasite,طفيلي,Tufaili,طفيلي,Tufaili
parasites,طفيليات,Tufailiyaat,طفيليات,Tufailiyaat
asthma,ربو,rabw,ازمة,rabw
heart attack,أزمة قلبية,azma qalbiyya,أزمة قلبية,azma qalbiyya
coma,غيبوبة,ġaibuuba,غيبوبة,ġaibuuba
clot,جلطة,jalTa,جلطة,galTa
clots,جلطات,jalaTaat,جلطات,galaTaat
stroke,جلطة دماغية,jalTa dimaaġiyya,جلطة في المخ,jalTa dimaaġiyya
allergy ,حسّاسية من,Hassaasiyya min,حسّاسية من,Hassaasiyya min
cold,باردة,baarida,برد,baarida
cirrhosis,تليف,talayyuf,تليف,talayyuf
autism,توحد,tawaHHud,توحد,tawaHHud
leprosy,جذام,judaam,جذام,judaam
kidney stone,حصوة,HaSwa,حصوة,HaSwa
kidney stones,حصيات الكلي,HaSayaat al-kulya,حصاوي كلوة,HaSaawi kilwa
tuberculosis,درن,daran,سل,daran
epilepsy,صرع,Sara3,صرع,Sara3
symptom,عرض,3araD,عرض,3araD
symptoms,أعراض,a3raaD,أعراض,a3raaD
headache,صداع,Sudaa3,صداع,Sudaa3
insomnia,أرق,araq,أرق,araq
heartburn,حموضة,HumuuDa,حموضة,HumuuDa
diarrhea,إسهال,ishaal,إسهال,ishaal
stomach cramping,مغص,maġaS,مغص,maġaS
constipation,امساك,imsaak,امساك,imsaak
indigestion,عسر هضم,3usr haDm,عسر هضم,3usr haDm
bruise,كدمة,kadma,كدمة,kadma
bruises,كدمات,kadamaat,كدمات,kadamaat
burn,حرق,Harq,حرق,Har'
burns,حروق,Huruuq,حروق,Huruu'
