Arabic proverb,Phonetic Transcription,English Translation
التكرار يعلّم الحمار.,it-tikraar yi3allim il-Humaar.,Repetition teaches (even) a donkey.  (Practice makes perfect.)
في الامتحان يكرم المرء أو يحان.,fil-imteHaan yokram il-mar' aw yohaan.,"At the time of a test, a person rises or falls. (People's real worth is known only through trial.)"
يا واخد القرد على ماله يروح المال ويقعد القرد على حاله.,ya waaxod il-'ird 3ala maalu yiruuH il-maal wa yi'3od il-'ird 3ala Haalu,"If you marry a monkey (i.e. someone ugly) for his money, the money will go away and the monkey will stay the same (as ugly as ever).  (Don't marry for money.)"
الوحدة خير من جليس السوء.,il-waHda xeir min giliis is-suu'.,Being alone is better than being with someone bad.  (Warning about keeping bad company.)
امشي في جنازة ولا تمشي في جوازة.,imši fi ganaaza walla timši fi gawaaza.,Being involved in a funeral is better than trying to arrange marriages.  (Warning about matchmaking.)
القرد في عين أمه غزال.,il-'ird fi 3ein ummu ġazaal.,"In his mother’s eye, the monkey is (as beautiful as) a gazelle.  (Comment about mothers' bias or partiality to their children.)"
لا يلدغ المؤمن من جحر مرتين.,la yuldaġ il-mo'men min goHr marratein.,"The believer is not bitten from the same hole twice.  (Fool me once, shame on you; fool me twice, shame on me.)"
قليل البخت يلاقي العظم في الكرشة.,'aliil il-baxt yilaa'i l-3aDm fil-kirša.,The unlucky person finds bones in his tripe dinner.  (You can't escape bad luck.) See also the variation
قليل البخت يتكعبل في السديري,"'aliil il-baxt yitka3bil fis-sideiri), ""The unlucky person trips over [his own] waistcoat/vest.",Birds of a feather flock together.
الطيور على اشكالها تقع.,iT-Tuyuur 3ala aškaaliha taqa3u.,Birds of a feather flock together.
اليد في الميّة مش زي اليد في النار.,il-iid fil-mayya miš zayy il-iid fin-naar.,The hand in water isn’t like the hand in fire.  (Easier said than done; used to criticize someone removed from the situation at hand who is telling those involved how to deal with it.)
اللى على البرّ عوّام.,illi 3ala l-barr 3awwaam.,The one on shore is a master swimmer.  (See above.)
اللى على راسه بطحة بيحصص عليها.,illi 3ala raasu baTHa biHaSSiS 3aleiha.,Those who have an injury on their head keep checking it. (People who have a weakness show it.)
لبس البوصة، تبقى عروسة.,"labbis il-buuSa, tib'a 3aruusa.",Dressing up a stick turns it into a bride. (Clothes make the man.)
ابن الوزّ عوّام.,ibn il-wazz 3awwam.,"The son of a goose is a swimmer.  (Like father, like son.)"
دوام الحال من المحال.,dawaam il-Haal min il-muHaal.,Continuing the same state is impossible.  (Nothing stays the same.)
