English,Egyptian Arabic,Transliteration
religion,دين,diin
religions,أديان,adyaan
sect,طائفة,Tayfa
sects,طوائف,Tawaa'if
denomination,مذهب,mazhab
denominations,مذاهب,mazaahib
Muslim,مسلم,muslim
Sunni,سنّي,sunni
Sunnis,سنّة,sunna
Shi'ite,شيعي,šii3i
Shi'ites,شيعة,šii3a
Alawite,علوي,3alawi
Christian,مسيحي,masiiHi
Copt,قبطي,'ibTi
Copts,أقباط,a'baaT
Maronite,ماروني,maruuni
Maronites,موارنة,mawaarina
Orthodox,أورثودوكس,ortodoks
Catholic,كاثوليك,katoliik
Protestant,بروتستانت,brotestaant
Jew,يهودي,yihuudi
Jews,يهود,yihuud
Druze,دروزي,druuzi
Druzes,دروز,druuz
paganism ,وثنية ,wasaniyya 
secularism,علمانية,3ilmaaniyya
monotheism,توحيدية,tawHiidiyya
infidel,كافر,kaafir
infidels,كفار,kuffaar
creed,عقيدة,3aqiida
creeds,عقائد دينية,3aqaayid diiniyya
 god,اله,ilaah
 gods,آلهة,aaliha
God*,الله,allaah
lord,رب,rabb
lords,أرباب,arbaab
Satan,الشيطان,iš-šiTaan
Satans,الشياطين,iš-šayaTiin
messiah,مسيح,masiiH
savior,مخلّص,muxalliS
Jesus,يسوع | عيسى,yasuu3 ; 3iisa 
angel,ملاك,malaak
angels,ملائكة,malayka
cross,صليب,Siliib
crosses,صلبان,Sulbaan
crescent,هلال,halaal
star of David,نجمة داوود,nigmit dawuud
mosque,جامع,gaami3
mosques,جوامع,gawaami3
prayer niche in mosques,محراب,miHraab
prayer niche in mosques,محاريب,maHaariib
minaret,مدنة,madna
minarets,مدن,midan
call to prayer,اذان,adaan
muezzin,مؤذن,mu'azzin
minbar ,منبر,mimbar
minbar s,منابر,manaabir
Friday sermon,خطبة,xuTba
imam,امام,imaam
imams,أئمة,a'ima
church,كنيسة,kiniisa
churches,كنايس,kanaayis
shrine,مزار,mazaar
shrines,مزارات,mazaaraat
altar,مذبح,mazbaH
altars,مذابح,mazaabiH
sanctuary,هيكل,heikal
sanctuaries,هياكل,hayaakil
synagogue,كنيس,kaniis
temple,معبد,ma3bad
temples,معابد,ma3aabid
monastery,دير,deir
monasteries,أديار,adyira
monk,راهب,raahib
monks,رهبان,ruhbaan
nun,راهبة,rahba
priest,قسيس,'assiis
priests,قسس,'usus
bishop,أسقف,us'uf
bishops,أساقف,asa'fa
rabbi,حاخام,Haxaam
rabbis,حاخامات,Haxamaat
prophet,نبي,nabi
prophets,أنبياء,anbiya
chapter from the Qur'an,سورة,suura
chapter from the Qur'ans,سور,suwar
verse from the Qur'an,آية,aaya
verse from the Qur'ans,آيات,aayaat
profession of faith,شهادة,šahaada
prayer,صلاة,Salaah
fasting,صوم,Soom
alms-giving,زكاة,zakaah
pilgrimage to Mecca,حج,Hagg
minor pilgrimage,عمرة,3omra
permitted by Islam,حلال,Halaal
forbidden by Islam,حرام,Haraam
mass,قداس,'oddaas
masses,قداديس,'adadiis
 saint,قديس,'iddiis
psalm,مزمور,mazmuur
psalms,مزامير,mazamiir
hymn,ترنيمة,tarniima
hymns,ترانيم,taraniim
rosary,مسبحة,misbaHa
rosaries,مسابح,masaabiH
 sermon,وعظة,wa3Za
feast,عيد,3iid
feasts,أعياد,a3yaad
blessing,بركة,baraka
blessings,بركات,barakaat
repentance,توبة,tooba
forgiveness,غفران,ġufraan
mercy,رحمة,raHma
fate,قدر,qadr
fates,أقدار,aqdaar
morals,أخلاق,axlaa'
soul,روح,ruuH
souls,أرواح,arwaaH 
holy,مقدس,mu'addas
missionary,داعية,daa3iya
prosyletization,دعوى,da3wa
sacrifice ,ضحية,DaHiya
sacrifice s,ضحايا,DaHaaya
good,خير,xeir
evil,شر,šarr
blasphemy,تجديف,tagdiif
resurrection,قيامة,'iyaama
religious,متدين,mutadayyin
sin ,ذنب,zamb
sin s,ذنوب,zunuub
sin,خطيئة,xaTiyya
sins,خطايا,xaTaaya
miracle,معجزة,mo3giza
miracles,معجزات,mo3gizaat
