English,Egyptian Arabic,Transliteration
time,وقت,wa't
times,أوقات,aw'aat
time (countable unit; as in "three times,مرة,marra
time (countable unit; as in "three times,مرات,marraat
century,قرن,qarn
centuries,قرون,quruun
decade,حقبة,Hiqba
decades,حقبات,Hiqabaat
year,سنة,sana
years,سنين,siniin
week,أسبوع,usbuu3
weeks,أسابيع,asaabii3
day,يوم,yoom
days,أيّام,ayyaam
hour,ساعة,saa3a
hours,ساعات,saa3aat
minute,دقيقة,di'ii'a
minutes,دقائق,da'aaya
second,ثانية,tanya
seconds,ثواني,tawaani
moment,لحظة,laHZa
moments,لحظات,laHaZaat
dawn,فجر,fagr
morning,صباح | صبح,SabaaH/SobH
noon,ضهر,Duhr
evening,مساء,masaa'/masa
night,ليلة,leila
nights,ليالي,layaali
before,قبل,'abl
after,بعد,ba3d
then,بعدين,ba3dein
until,لغاية,li-ġaayit
now,دلوقت,dilwa'ti/dilwa't
the day before yesterday,اول امبارح,awwil imbaariH
yesterday,امبارح,imbaariH
last night,امبارح بالليل,imbaariH bil-leil
tomorrow,بكرة,bukra
every day,كل يوم,kulle yoom
every other day,يوم آه ويوم لا,yoom 'aah wa-yoom la
day after day,يوم ورا يوم,yoom wara yoom
early,بدري,badri
late,متأخر,mit'axxar
after a while,بعد شوية,ba3de šwayya
later on,بعدين,ba3dein
always,دايما,dayman
usually,عادةً,3aadatan
sometimes,أحيانا,aHyaanan
rarely,نادرا,naadiran
holiday,عيد,3iid
holidays,أعياد,a3yaad
birthday,عيد ميلاد,3iid miilaad
occasion,مناسبة,munaasaba
occasions,مناسبات,munaasabaat
anniversary ,ذكرى,zikra
anniversary s,ذكريات,zikriyaat
party,حفلة,Hafla
parties,حفلات,Hafalaat
gift,هدية,hadiyya
gifts,هدايا,hidaaya
calendar,تقويم,taqwiim
calendars,تقاويم,taqawiim
* The following names are used in most of the Mashriq,,
January,يناير,yanaayir
February,فبراير,fibraayir
March,مارس,maaris
April,أبريل,abriil
May,مايو,maayo
June,يونيو,yuuniyo
July,يوليو,yuuliyo
August,أغسطس,aġusTus
September,سمتمبر,sibtimbir
October,أكتوبر,uktoobar
November,نوفمبر,nuvimbir
December,ديسيمبر,disimbir
* The following names are used in the Levant. *,,
February,شباط,šubaaT
March,آذار,aadaar
April,نيسان,niisaan
May,أيار,ayyaar
June,حزيران,Huzeiraan
July,تموز,tammuuz
August,آب,aab
September,أيلول,ayluul
Muharram,محرم,muHarram
Safar,صفر,Safar
Rajab,رجب,ragab
Shaban,شعبان,ša3baan
Ramadan,رمضان,ramaDaan
Shawwal,شوال,šawwaal
Thout ,توت,tuut
Paopi ,بابة,baaba
Hathor ,هاتور,hatuur
Koiak ,كياهك,kiyaak
Tobi ,طوبة,Tuuba
Meshir ,أمشير,amšiir
Paremhat ,برمهات,baramhaat
Paremoude ,برمودة,baramuuda
Pashons ,بشنس,bašans
Paoni ,بؤونة,ba'uuna
Epip ,أبيب,abiib
Mesori ,مسرى,misra
Pi Kogi Enavot ,نسئ,nasy
