English,Standard Arabic,Transliteration,Egyptian Arabic,Transliteration
time,وقت,waqt,وقت,wa't
times,أوقات,awqaat,أوقات,aw'aat
time (countable unit; as in "three times,مرة,marra,مرة,marra
time (countable unit; as in "three times,مرات,marraat,مرات,marraat
century,قرن,qarn,قرن,qarn
centuries,قرون,quruun,قرون,quruun
decade,حقبة,Hiqba,حقبة,Hiqba
decades,حقبات,Hiqabaat,حقبات,Hiqabaat
year,سنة,sana,سنة,sana
years,سنوات,sanawaat,سنين,siniin
week,أسبوع,usbuu3,أسبوع,usbuu3
weeks,أسابيع,asaabii3,أسابيع,asaabii3
day,يوم,yawm,يوم,yoom
days,أيّام,ayyaam,أيّام,ayyaam
hour,ساعة,saa3a,ساعة,saa3a
hours,ساعات,saa3aat,ساعات,saa3aat
minute,دقيقة,daqiiqa,دقيقة,di'ii'a
minutes,دقائق,daqaa'iq,دقائق,da'aaya
second,ثانية,taanya,ثانية,tanya
seconds,ثواني,tawaani,ثواني,tawaani
moment,لحظة,laHZa,لحظة,laHZa
moments,لحظات,laHaZaat,لحظات,laHaZaat
dawn,فجر,fajr,فجر,fajr
morning,صباح,SabaaH,صباح | صبح,SabaaH
noon,ظهر,Zuhr,ضهر,Zuhr
evening,مساء,masaa',مساء,masaa'
night,ليلة,leila,ليلة,leila
nights,ليالي,layaali,ليالي,layaali
before,قبل,qabl,قبل,qabl
after,بعد,ba3d,بعد,ba3d
then,ثم,tumma,بعدين,tumma
until,حتى,Hatta,لغاية,Hatta
now,الآن,al'aan,دلوقت,al'aan
the day before yesterday,أول أمس,awwal ams,اول امبارح,awwal ams
yesterday,أمس,ams,امبارح,ams
last night,ليلة أمس,leilat ams,امبارح بالليل,leilat ams
tomorrow,غدا,ġadan,بكرة,ġadan
every day,كل يوم,kull yawm,كل يوم,kull yawm
every other day,كل يومين,kull yawmein,يوم آه ويوم لا,kull yawmein
day after day,يوما بعد يوم,yawman ba3d yawm,يوم ورا يوم,yawman ba3d yawm
early,مبكر,mubakkir,بدري,mubakkir
late,متأخر,muta'axxir,متأخر,muta'axxir
after a while,بعد قليل,ba3d qaliil,بعد شوية,ba3d qaliil
later on,لاحقا,laaHiqan,بعدين,laaHiqan
always,دائما,daa'iman,دايما,daa'iman
usually,عادةً,3aadatan,عادةً,3aadatan
sometimes,أحيانا,aHyaanan,أحيانا,aHyaanan
rarely,نادرا,naadiran,نادرا,naadiran
holiday,عيد,3iid,عيد,3iid
holidays,أعياد,a3yaad,أعياد,a3yaad
birthday,عيد ميلاد,3iid miilaad,عيد ميلاد,3iid miilaad
occasion,مناسبة,munaasaba,مناسبة,munaasaba
occasions,مناسبات,munaasabaat,مناسبات,munaasabaat
anniversary ,ذكرى,dikra,ذكرى,zikra
anniversary s,ذكريات,dikrayaat,ذكريات,zikriyaat
party,حفلة,Hafla,حفلة,Hafla
parties,حفلات,Hafalaat,حفلات,Hafalaat
gift,هدية,hadiyya,هدية,hadiyya
gifts,هدايا,hidaaya,هدايا,hidaaya
calendar,تقويم,taqwiim,تقويم,taqwiim
calendars,تقاويم,taqaawiim,تقاويم,taqawiim
* The following names are used in most of the Mashriq,,,,
January,يناير,yanaayir,يناير,yanaayir
February,فبراير,fibraayir,فبراير,fibraayir
March,مارس,maaris,مارس,maaris
April,أبريل,abriil,أبريل,abriil
May,مايو,maayo,مايو,maayo
June,يونيو,yuuniyo,يونيو,yuuniyo
July,يوليو,yuuliyo,يوليو,yuuliyo
August,أغسطس,aġusTus,أغسطس,aġusTus
September,سمتمبر,sibtimbir,سمتمبر,sibtimbir
October,أكتوبر,uktoobar,أكتوبر,uktoobar
November,نوفمبر,nuvimbir,نوفمبر,nuvimbir
December,ديسيمبر,disimbir,ديسيمبر,disimbir
* The following names are used in the Levant. *,,,,
February,شباط,šubaaT,شباط,šubaaT
March,آذار,aadaar,آذار,aadaar
April,نيسان,niisaan,نيسان,niisaan
May,أيار,ayyaar,أيار,ayyaar
June,حزيران,Huzeiraan,حزيران,Huzeiraan
July,تموز,tammuuz,تموز,tammuuz
August,آب,aab,آب,aab
September,أيلول,ayluul,أيلول,ayluul
Muharram,محرم,muHarram,محرم,muHarram
Safar,صفر,Safar,صفر,Safar
Rajab,رجب,rajab,رجب,rajab
Shaban,شعبان,ša3abaan,شعبان,ša3abaan
Ramadan,رمضان,ramaDaan,رمضان,ramaDaan
Shawwal,شوال,šawwaal,شوال,šawwaal
Thout ,توت,tuut,توت,tuut
Paopi ,بابة,baaba,بابة,baaba
Hathor ,هاتور,haatuur,هاتور,haatuur
Koiak ,كياهك,kiyaahk,كياهك,kiyaahk
Tobi ,طوبة,Tuuba,طوبة,Tuuba
Meshir ,أمشير,amšiir,أمشير,amšiir
Paremhat ,برمهات,baramhaat,برمهات,baramhaat
Paremoude ,برمودة,baramuuda,برمودة,baramuuda
Pashons ,بشنس,bašans,بشنس,bašans
Paoni ,بؤونة,ba'uuna,بؤونة,ba'uuna
Epip ,أبيب,abiib,أبيب,abiib
Mesori ,مسرى,misra,مسرى,misra
Pi Kogi Enavot ,نسئ,nasii',نسئ,nasii'
