English,Egyptian Arabic,Transliteration
to be ,كان - يكون ,kaan - yikuun 
to do; to make,عمل - يعمل,3amal - yi3mil 
to work,اشتغل - يشتغل ,ištaġal - yištaġil 
to bring,جاب – يجيب ,gaab - yigiib 
to take,خد – ياخد ,xad - yaaxud 
to put,حطّ - يحطّ ,HaTT - yiHoTT 
to become,بقى - يبقى,ba'a - yib'a
to change ,غيّر - يغيّر ,ġayyar - yiġayyar 
to count,عدّ - يعدّ ,3add - yi3idd 
to go ,راح – يروح ,raaH - yiruuH 
to walk,مشي - يمشي ,miši - yimši 
to run,جرى - يجري ,geri - yigri 
to come,جه – يجي ,geh - yiigi 
to return,رجع – يرجع  إلى,rigi3 - yirga3 
to arrive,وصل - يوصل ,wiSil - yiwSil 
to sit,قعد – يقعد ,'a3ad - yu'3ud 
to get up,قام - يقوم ,'aam - yi'uum 
to fall,وقع - يوقع ,wi'i3 - yiw'a3 
to go up,طلع - يطلع ,Tili3 - yiTla3 
to go down,نزل - ينزل ,nizil - yinzil 
to cook,طبخ - يطبخ ,Tabax - yiTbux 
to eat,كل – ياكل ,kal - yaakul 
to drink,شرب – يشرب ,širib - yišrab 
to wake up,صحي - يصحى ,SaHa - yiSHa 
to sleep,نام - ينام ,naam - yinaam 
to wash,غسل - يغسل ,ġasal - yiġsil 
to clean,نظّف - ينظّف ,naZZaf - yinaZZaf 
to study,درس - يدرس ,daras - yidris 
to learn,اتعلّم - يتعلّم ,it3allim - yit3allim 
to understand,فهم - يفهم ,fihim - yifham 
to know,عرف - يعرف ,3irif - yi3raf 
to remember,افتكر - يفتكر ,iftakar - yiftikir 
to forget,نسي - ينسى ,nisi - yinsa 
to describe,وصف - يوصف ,waSaf - yiwSif 
to try,جرّب - يجرّب ,garrab - yigarrib 
to try,حاول - يحاول  أن,Haawala - yuHaawilu  an
to be able to do s.t.,قدر - يقدر  أن,'idir - yi'dir 
to read,قرأ – يقرأ ,'ara - yi'ra 
to write,كتب – يكتب ,katab - yiktib 
to translate,ترجم - يترجم ,targam - yitargim 
to talk ,اتكلّم – يتكلّم ,itkallim - yitkallim 
to say,قال - يقول ,'aal - yi'uul 
to ask ,سأل - يسأل ,sa'ala - yas'alu 
to request,طلب - يطلب ,Talaba - yaTlubu 
to reply,أجاب - يجيب  على,agaab - yigiib  3ala
to thank,شكر - يشكر ,šakar - yiškur 
to complain ,اشتكى - يشتكي  من,ištaka - yištiki  min
to promise,وعد - يوعد ,wa3ad - yiw3id  bi
to see,شاف - يشوف ,šaaf - yišuuf 
to look at,بصّ – يبصّ  على,baSS - yibuSS  3ala
to look for,دوّر - يدوّر  على,dawwar - yidawwar  3ala
to find,لاقى - يلاقي,laa'a - yilaa'i 
to lose ,ضيّع - يضيّع ,Dayya3a - yuDayyi3u 
to organize,نظّم - ينظّم ,naZZama - yunaZZimu 
to organize,رتّب - يرتّب ,rattaba - yurattibu 
to smoke ,دخّن - يدخّن ,daxxana - yudaxxinu 
to happen,حصل - يحصل ,HaSal - yiHSal 
to watch,اتفرّج - يتفرّج على,itfarrag - yitfarrag 3ala
to hear,سمع - يسمع ,simi3 - yisma3 
to listen to,سمع - يسمع ,simi3 - yisma3 
to give,ادّى - يدّي ,idda - yiddi 
to carry,شال - يشيل ,šaal - yišiil 
to love,حبّ - يحبّ ,Habb - yiHibb 
to hate,كره - يكره ,karah - yikrah 
to be born,اتولد - يتولد,itwalad - yitwalad
to live,عاش - يعيش ,3aaša - ya3iišu 
to live ,سكن - يسكن  في,sakana - yaskunu  fi
to die,مات – يموت ,maata - yamuutu 
to pass away,اتوفى - يتوفي ,itwaffa - yitwaffi 
to wait,استنى - يستني,istinna - yistinni
to buy,اشترى - يشتري ,ištara - yištiri
to sell,باع - يبيع ,baa3a - yabii3u 
to pay; to push,دفع - يدفع ,dafa3 - yidfa3
to push,زق - يزق ,za'' - yizu'' 
to open ,فتح - يفتح ,fataH - yiftaH 
to close ,قفل - يقفل,'afal - yi'fil
to begin,بدأ - يبدأ ,bada' - yibda'
to end ,انتهى - ينتهي ,intaha - yantahi 
to stop ; to stand up,وقف - يقف ,wi'if - yiw'af 
to finish ,خلّص - يخلّص ,xallaS - yixallaS 
to stop ; to stand up,وقف - يقف ,wi'if - yiw'af 
to play,لعب - يلعب ,la3aba - yal3ibu 
to use ,استخدم - يستخدم ,istaxdama - yastaxdimu 
to enter,دخل - يدخل ,daxal - yudxul
to go out,خرج - يخرج ,xarag - yixrag
to leave,ساب - يسيب,saab - yisiib
to ride ,ركب - يركب ,rikib - yirkab
to send,بعت - يبعت,ba3at - yib3at
to receive,استلم - يستلم ,istalam - yistilim 
to think ,فكّر - يفكّر ,fakkar - yifakkar  fi
to think ,افتكر - يفتكر,iftakar - yiftikir
to believe ,اعتقد - يعتقد ,i3taqada - ya3taqidu  anna
to need ,احتاج - يحتاج  إلى,iHtaag - yiHtaag
to want ,عايز - عايزة,3aayiz/3aayza  - active participle
to succeed,نجح - ينجح ,nagaH - yingaH 
to fail,فشل - يفشل ,fašila - yafšalu 
