English,Standard Arabic,Transliteration
war,حرب,Harb
wars,حروب,Huruub 
civil war,حرب أهلية,Harb ahliyya
revolution,ثورة,tawra
revolutions,ثورات,tawraat
coup,انقلاب,inqilaab
bloodless coup,انقلاب أبيض,inqilaab abyaD
conflict,صراع,Siraa3
strife,نزاع,nizaa3
fight,نضال,niDaal
resistance,مقاومة,muqaawama
insurrection,عصيان,3iSyaan
rebellion,تمرّد,tamarrud
military ,عسكري,3askari
alliance,حلف,Hilf
alliances,أحلاف,aHlaaf
ally,حليف,Haliif
allies,حلفاء,Hulafaa'
defense ,دفاع عن,difaa3 3an
pre-emptive strike,ضربة وقائية,Darba wiqaa'iyya
occupation,احتلال,iHtilaal
weapon,سلاح,silaaH
weapons,أسلحة,asliHa
machine gun,رشاش,raššaaš
machine guns,رشاشات,raššaašaat
heavy,ثقيل,taqiil
light,خفيف,xafiif
rifle,بندقية,bunduqiyya
rifles,بنادق,banaadiq
sniper rifle,بندقية قناصة,bunduqiyya qannaaSa
pistol,مسدس,musaddas
pistols,مسدسات,musaddasaat
sword,سيف,seif
swords,سيوف,suyuuf
spear,رمح,rumH
spears,رماح,rimaaH
bullet,رصاصة,raSaaSa
bullets,رصوص,ruSuuS
rubber bullets,رصاص مطاطي,raSaaS maTTaaTi
live ammunition,رصاص حي,raSaaS Hayy
weapons that are not firearms (e.g. knives,أسلحة بيضاء,asliHa beiDaa' 
baton,هراوة,hiraawa
batons,هراوات,hiraawaat
firearm,سلاح ناري,silaaH naari
medium-range weapons,أسلحة متوسطة,asliHa mutawassiTa
nuclear weapons,أسلحة نووية,asliHa nawawiyya
chemical weapons,أسلحة كيماوية,asliHa kiimaawiyya
atomic bomb,قنبلة ذرية,qunbula darriyya
smart bomb,قنبلة ذكية,qunbula dakiyya
cluster bomb,قنبلة عنقودية,qunbula 3unquudiyya
land mine,لغم أرضي,laġam arDi
land mines,ألغام أرضية,alġaam arDiyya
mortar,هاون,haawun
mortars,هواوين,hawaawiin
bomb,قنبلة,qunbula
bombs,قنابل,qanaabil
Molotov cocktail,عبوة ناسفة,3ubuuwa naasifa
car bomb,سيارة مفخخة,sayyaara mufaxxaxa
missile,قذيفة,qadiifa
missiles,قذائف,qadaa'if
missile,صاروخ,Saaruux
missiles,صواريخ,Sawaariix
rocket launcher,قاذف صاروخي,qaadif Saaruuxi
rocket launchers,قاذفات الصواريخ,qaadifaat aS-Sawaariix
bombing,قصف,qaSf
explosion,انفجار,infijaar
explosions,انفجارات,infijaaraat
explosive ,متفجر,mutafajjir
explosive,مفرقعة,mufarqi3a
explosives,مفرقعات,mufarqi3aat
battle,معركة,ma3raka
battles,معارك,ma3aarik
clash,اشتباك,ištibaak
clashes,اشتباكات,ištibaakaat
attack,هجوم,hujuum
attack,اعتداء,i3tidaa'
attacks,اعتداءات,i3tidaa'aat
ambush,كمين,kamiin
ambushes,كمناء,kumanaa'
raid,غارة,ġaara
raids,غارات على,ġaaraat 3ala
aggression,عدوان على,3udwaan 3ala
suicide bombing,عملية انتحارية,3amaliyya intiHaariyya
siege,حصار,HiSaar
invasion,غزو,ġazw
incursion,توغل في,tawaġġul fi
