English,Standard Arabic,Transliteration,Standard Arabic,Transliteration
war,,Harb,حرب,Harb
wars,حروب,Huruub ,حروب,Huruub 
civil war,حرب أهلية,Harb ahliyya,حرب أهلية,Harb ahliyya
revolution,,tawra,ثورة,tawra
revolutions,ثورات,tawraat,ثورات,tawraat
coup,انقلاب,inqilaab,انقلاب,inqilaab
bloodless coup,انقلاب أبيض,inqilaab abyaD,انقلاب أبيض,inqilaab abyaD
conflict,صراع,Siraa3,صراع,Siraa3
strife,نزاع,nizaa3,نزاع,nizaa3
fight, struggle,نضال,niDaal,نضال,niDaal
resistance,مقاومة,muqaawama,مقاومة,muqaawama
insurrection,عصيان,3iSyaan,عصيان,3iSyaan
rebellion,تمرّد,tamarrud,تمرّد,tamarrud
military (adj.),عسكري,3askari,عسكري,3askari
alliance,,Hilf,حلف,Hilf
alliances,أحلاف,aHlaaf,أحلاف,aHlaaf
ally,,Haliif,حليف,Haliif
allys,حلفاء,Hulafaa',حلفاء,Hulafaa'
defense (of),دفاع عن,difaa3 3an,دفاع عن,difaa3 3an
pre-emptive strike,ضربة وقائية,Darba wiqaa'iyya,ضربة وقائية,Darba wiqaa'iyya
occupation,احتلال,iHtilaal,احتلال,iHtilaal
weapon, gun,,silaaH,سلاح,silaaH
weapon, guns,أسلحة,asliHa,أسلحة,asliHa
machine gun,,raššaaš,رشاش,raššaaš
machine guns,رشاشات,raššaašaat,رشاشات,raššaašaat
heavy,ثقيل,taqiil,ثقيل,taqiil
light,خفيف,xafiif,خفيف,xafiif
rifle,,bunduqiyya,بندقية,bunduqiyya
rifles,بنادق,banaadiq,بنادق,banaadiq
sniper rifle,بندقية قناصة,bunduqiyya qannaaSa,بندقية قناصة,bunduqiyya qannaaSa
pistol,,musaddas,مسدس,musaddas
pistols,مسدسات,musaddasaat,مسدسات,musaddasaat
sword,,seif,سيف,seif
swords,سيوف,suyuuf,سيوف,suyuuf
spear,,rumH,رمح,rumH
spears,رماح,rimaaH,رماح,rimaaH
bullet,,raSaaSa,رصاصة,raSaaSa
bullets,رصوص,ruSuuS,رصوص,ruSuuS
