English,Standard Arabic,Transliteration,Egyptian Arabic,Transliteration
job,وظيفة,waZiifa,وظيفة,waZiifa
jobs,وظائف,waZaa'if,وظائف,waZaayif
profession,مهنة,mihna,مهنة,mihna
professions,مهن,mihan,مهن,mihan
work,عمل,3amal,شغل,šuġl
employment,توظيف,tawZiif,توظيف,tawZiif
unemployment,بطالة,baTaala,بطالة,baTaala
resume,سيرة,siira daatiyya,سي في,C.V.
resumes,سير ذاتية,siyar daatiyya,سير ذاتية,siyar daatiyya
qualifications,مؤهلات,mu'ahhilaat,مؤهلات,mu'ahhilaat
experience,خبرة,xibra,خبرة,xibra
job vacancy,وظيفة شاغرة/خالية,waZiifa šaaġira/xaaliya,وظيفة شاغرة/خالية,waZiifa xalya
interview,مقابلة شخصية,muqaabala šaxSiyya,مقابلة شخصية,mu'abla šaxSiyya
promotion,ترقية,tarqiyya,ترقية,tarqiyya
raise,علاوة,3elaawa,علاوة,3elaawa
raises,علاوات,3elaawaat,علاوات,3elaawaat
salary,مرتب,murattab,مرتب,murattab
salaries,مرتبات,murattabaat,مرتبات,murattabaat
income,دخل,daxl,دخل,daxl
 salary,,mahiyya,ماهية,mahiyya
 salaries,ماهيات,mahiyyaat,ماهيات,mahiyyaat
living,رزق,rizq,رزق,riz'
livings,أرزاق,arzaaq,أرزاق,arzaa'
pension,معاش,ma3aaš,معاش,ma3aaš
time to leave work,ميعاد | وقت الانصراف,mii3aad/wa't il-inSiraaf,ميعاد | وقت الانصراف,mii3aad/wa't il-inSiraaf
boss,مدير,mudiir,مدير,mudiir
colleague,زميل,zamiil,زميل,zimiil
colleagues,زملاء,zumalaa',زملاء,zumalaa'
office; desk,مكتب,maktab,مكتب,maktab
office; desks,مكاتب,makaatib,مكاتب,makaatib
shredder,فرامة,farraaama,فرامة,farraaama
shredders,فرامات,farraamaat,فرامات,farraamaat
file,ملف,milaff,ملف,milaff
files,ملفات,milaffaat,ملفات,milaffaat
money,مال,maal,فلوس,filuus
monies,أموال,amwaal,أموال,amwaal
currency,عملة,3umla,عملة,3umla
counterfeit,مزيّف,muzayyaf,مزيّف,muzayyaf
cash,نقد,naqd,نقد,na'd
cash,نقود,nuquud,نقود,nu'uud
check,شيك,šek,شيك,šek
checks,شيكات,šekaat,شيكات,šekaat
bank,بنك,bank,بنك,bank
banks,بنوك,bunuuk,بنوك,bunuuk
ATM,صرّاف آلي,Sarraaf aali,آي تي ام,ATM
account,حساب,Hisaab,حساب,Hisaab
accounts,حسابات,Hisaabaat,حسابات,Hisaabaat
savings account,حساب توفير,Hisaab tawfiir,حساب توفير,Hisaab tawfiir
checking account,حساب جاري,Hisaab jaari,حساب جاري,Hisaab gaari
balance,رصيد,raSiid,رصيد,raSiid
balances,أرصدة,arSida,أرصدة,arSida
to save (accumulate money,حوّش - يحوّش ,Hawwiš - yiHawwiš ,حوّش - يحوّش ,Hawwiš - yiHawwiš 
loan,قرض,qarD,قرض,qarD
loans,قروض,quruuD,قروض,quruuD
debt,دين,dein,دين,dein
debts,ديون,duyuun,ديون,duyuun
credit card,بطاقة ائتمان,biTaaqat i'timaan,كريدت كارد,kredit kard
allowance,علاوة,3elaawa,علاوة,3elaawa
allowances,ملاوات,3elaawaat,ملاوات,3elaawaat
accountant,محاسب,muHaasib,محاسب,muHaasib
actor,ممثل,mumattil,ممثل,mumassil
administrator,اداري,idaari,اداري,idaari
agent,وكيل,wakiil,وكيل,wakiil
agents,وكلاء,wukalaa',وكلاء,wukala
air stewardess,مضيف جوي,muDiif jawwi,مضيف جوي,muDiif gawwi
ambassador,سفير,safiir,سفير,safiir
ambassadors,سفراء,sufaraa',سفراء,sufara
analyst,محلل,muHallil,محلل,muHallil
architect,معمار,mi3maar,مهندس معماري,muhandis mi3maari
artist,فنان,fannaan,فنان,fannaan
assistant,مساعد,musaa3id,مساعد,musaa3id
astrologer,منجم,munajjim,منجم,munaggim
astronaut,رائد فضاء,raa'id faDaa',رائد فضاء,raa'id faDaa'
athlete,رياضي,riyaaDi,رياضي,riyaaDi
author,مؤلف,mu'allif,مؤلف,mu'allif
baker,خباز,xabbaaz,فران,farraan
barber,حلاق,Hallaaq,حلاق,Hallaa'
blacksmith,حداد,Haddaad,حداد,Haddaad
broadcaster,مذيع,mudii3,مذيع,muzii3
businessman,رجل أعمال,rajul a3maal,رجل أعمال,raagil a3maal
businessmen,رجال أعمال,rijaal a3maal,رجال أعمال,rigaal a3maal
butcher,جزار,jazzaar,جزار,gazzaar
carpenter,نجار,najjaar,نجار,naggaar
cashier; bank teller,صيرفي,Seirafi,صراف,Sarraaf
cashier; bank tellers,صيارفة,Sayaarifa,صيرفة/صيارف,Sayarfa/Sayaarif
chemist,كيميائي,kiimiyaa'i,كيميائي,kimyaa'i
coach,مدرب,mudarrib,مدرب,mudarrib
composer,ملحن,mulaHHin,ملحن,mulaHHin
computer programmer,مبرمج حاسوبات,mubarmij Haasuubaat,مبرمج كومبيوتر,mubarmig kombyuuter
contractor,مقاول,muqaawil,مقاول,mi'aawil
cook,طباخ,Tabbaax,طباخ,Tabbaax
correspondent,مراسل,muraasil,مراسل,muraasil
critic,ناقد,naaqid,ناقد,naaqid
critics,نقاد,nuqqaad,نقاد,nuqqaad
dancer,رقاص,raqqaaS,رقاص,ra''aaS
dentist,طبيب اسنان,Tabiib asnaan,دكتور اسنان,doktoor asnaan
designer,مصمم,muSammim,مصمم,muSammim
diplomat,دبلوماسي,dibloomaasi,دبلوماسي,dibloomaasi
director,مدير,mudiir,مدير,mudiir
directors,مدراء,mudaraa',مديرين,mudiiriin
director ,مخرج,muxrij,مخرج,muxrig
doctor,طبيب,Tabiib,دكتور,doktoor
doctors,أطباء,aTibaa',دكترة,dakatra
doorman,بواب,bawwaab,بواب,bawwaab
driver,سائق,saa'iq,سواق,sawwaa'
editor,محرر,muHarrir,محرر,muHarrir
electrician,كهربائي,kahrubaa'i,كهربائي,kahrubaa'i
electricians,كهربائية,kahrubaa'iyya,كهربائية,kahrubaa'iyya
employee,موظف,muwaZZaf,موظف,muwaZZaf
engineer,مهندس,muhandis,مهندس,muhandis
expert,خبير,xabiir,خبير,xabiir
experts,خبراء,xubaraa',خبراء,xubara
farmer,مزارع,muzaari3,مزارع,muzaari3
financial advisor,مستشار مالي,mustašaar maali,مستشار مالي,mustašaar maali
fireman,رجل مطافئ,rajul maTaafi',عسكري مطافي,3askari maTaafi
guard,حارس,Haaris,حارس,Haaris
guards,حراس,Hurraas,حراس,Hurraas
hairdresser,مصفف شعر,muSaffif ša3r,كوافير,kuwafeir
historian,مؤرخ,mu'arrix,مؤرخ,mu'arrix
inspector,مفتش,mufattiš,مفتش,mufattiš
inventor,مخترع,muxtari3,مخترع,muxtari3
jeweler,جوهرجي,jawharji,جوهرجي,gawahirgi
jewelers,جوهرجية,gawahirgiyya,جوهرجية,gawahirgiyya
journalist,صحفي,SuHafi,صحفي,SuHafi
judge,قاضٍ,qaaDin,قاضي,'aaDi
judges,قضاة,quDaah,قضاة,'uDaah
lawyer,محامٍ,muHaamin,محامي,muHaami
librarian,أمين مكتبة,amiin maktaba,أمين مكتبة,amiin maktaba
maid,خدامة,xaddaama,شغالة,šaġġala
marketer,مسوق,musawwiq,مسوق,musawwi'
mechanic,ميكانيكي,miikaaniki,ميكانيكي,mikaniiki
mechanics,ميكانيكية,mikaniikiyya,ميكانيكية,mikaniikiyya
merchant,تاجر,taajir,تاجر,taagir
merchants,تجار,tujjaar,تجار,tuggaar
model,عارض أزياء,3aariD azyaa',عارض أزياء,3aariD azyaa'
musician,موسيقار,muusiiqaar,موسيقار,musiqaar
nanny,مربية أطفال,murabbiyyat aTfaal,مربية أطفال,murabbiyya
nurse,ممرض,mumarriD,ممرض,mumarriD
officer,ضابط,ZaabiT,ضابط,ZaabiT
officers,ضباط,ZubbaaT,ضباط,ZubbaaT
painter,رسام,rassaam,رسام,rassaam
pharmacist,صيدلي,Saydali,صيدلي,Saydali
pharmacists,صيدلة,Sayadla,صيدلة,Sayadla
photographer,مصور,muSawwir,مصوراتي,muSawwaraati
photographers,مصوراتية,muSawwaraatiyya,مصوراتية,muSawwaraatiyya
pilot,طيار,Tayyaar,طيار,Tayyaar
plumber,سباك,sabbaak,سباك,sabbaak
poet,شاعر,šaa3ir,شاعر,šaa3ir
policeman,شرطي,šurTi,عسكري شرطة,3askari šurTa
politician,سياسي,siyaasi,سياسي,siyaasi
producer,منتج,muntij,منتج,muntig
psychologist,عالم نفساني,3aalim nafsaani,دكتور نفساني,doktoor nafsaani
professor,استاذ,ustaad,استاذ,ustaaz
professors,أساتذة,asaatida,أساتذة,asatza
sailor,بحار,baHHaar,بحار,baHHaar
sailors,بحارة,baHHaara,بحارة,baHHaara
salesman,بائع,baa'i3,بياع,bayyaa3
scientist,عالم,3aalim,عالم,3aalim
scientists,علماء,3ulamaa',علماء,3ulama
servant,خدام,xaddaam,خدام,xaddaam
singer,مغنٍ,muġannin,مغني,muġanni
social worker,مشرف اجتماعي,mušrif ijtimaa3i,مشرف اجتماعي,mušrif igtimaa3i
student,طالب,Taalib,طالب,Taalib
students,طلاب,Tullaab,طلاب,Tullaab
supervisor,مراقب,muraaqib,مراقب,muraa'ib
surgeon,جراح,jarraaH,جراح,garraaH
tailor,خياط,xayyaaT,خياط,xayyaaT
teacher,مدرس,mudarris,مدرس,mudarris
veterinarian,طبيب بيطري,Tabiib beTari,دكتور بيطري,doktoor beTari
waiter,نادل,naadil,جرسون,garsoon
waiters,ندل,nudul,جرسونات,garsoonaat
worker,عامل,3aamil,عامل,3aamil
workers,عمال,3ummaal,عمال,3ummaal
writer,كاتب,kaatib,كاتب,kaatib
writers,كتاب,kuttaab,كتاب,kuttaab
